id,regija,upravna_enota,obcina,kraj,povrsina,vrsta_hise,leto,adaptirana,zemljisce,cena
6284611,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Ig,VISOKO,265.0,samostojna,1990,,2734.0,488300.0
6154719,Podravska,Slovenska Bistrica,Slovenska Bistrica,VISOLE,101.6,samostojna,1920,1997,1349.0,65000.0
6328420,LJ-okolica,Grosuplje,Ivančna Gorica,"VIŠNJA GORA, GRINTOVEC",490.0,samostojna,1975,,1473.0,320000.0
6333679,Savinjska,Celje,Vojnik,VIŠNJA VAS,182.5,samostojna,2020,,1081.0,160000.0
6351082,Savinjska,Celje,Vojnik,"VIŠNJA VAS, VOJNIK",182.5,samostojna,2020,,990.0,164000.0
6294951,LJ-okolica,Grosuplje,Ivančna Gorica,VIŠNJE,170.0,samostojna,1950,1982,4130.0,45000.0
6310431,LJ-okolica,Grosuplje,Ivančna Gorica,VIŠNJE,170.0,samostojna,1950,1980,4129.0,45000.0
6335198,LJ-okolica,Litija,Šmartno pri Litiji,VIŠNJI GRM,171.3,samostojna,1994,,11053.0,180000.0
6043941,Savinjska,Slovenske Konjice,Vitanje,"VITANJE, CENTER",178.0,vrstna,1700,,718.0,45000.0
6342033,Savinjska,Slovenske Konjice,Vitanje,"VITANJE, TRG",298.0,vrstna,1857,2004,964.0,79000.0
6365358,S.Primorska,Nova Gorica,Nova Gorica,VITOVLJE,104.0,samostojna,1995,,,198000.0
6319556,S.Primorska,Nova Gorica,Nova Gorica,VITOVLJE,182.7,samostojna,1983,,47844.0,457000.0
6252209,S.Primorska,Nova Gorica,Nova Gorica,VITOVLJE,237.0,samostojna,1850,2018,731.0,340000.0
6369403,LJ-mesto,Lj. Šiška,Ljubljana,VIŽMARJE,112.0,samostojna,1980,2018,,235000.0
6347242,LJ-mesto,Lj. Šiška,Ljubljana,VIŽMARJE,138.9,samostojna,2020,,475.0,320000.0
6326084,LJ-mesto,Lj. Šiška,Ljubljana,VIŽMARJE,140.1,trojček,2019,,208.0,219000.0
6358726,LJ-mesto,Lj. Šiška,Ljubljana,VIŽMARJE,140.1,trojček,2019,,227.0,295000.0
6358725,LJ-mesto,Lj. Šiška,Ljubljana,VIŽMARJE,140.12,samostojna,2019,,454.0,320000.0
6093697,LJ-mesto,Lj. Šiška,Ljubljana,VIŽMARJE,399.0,samostojna,2002,,1984.0,990000.0
6372186,LJ-mesto,Lj. Šiška,Ljubljana,"VIŽMARJE, MEDENSKA CESTA",213.0,samostojna,2013,,535.0,790000.0
6266895,LJ-mesto,Lj. Šiška,Ljubljana,"VIŽMARJE, V UREJENEM NASELJU, MIRNO OKOLJE",298.0,samostojna,2008,,509.0,835000.0
6320435,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Brezovica,VNANJE GORICE,140.0,samostojna,2019,,310.0,195000.0
6276223,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Brezovica,VNANJE GORICE,220.0,atrijska,1976,2000,1480.0,370000.0
6340441,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Brezovica,VNANJE GORICE,220.0,samostojna,1976,2014,1480.0,390000.0
6368355,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Brezovica,VNANJE GORICE,255.2,samostojna,1996,,1755.0,590000.0
6353773,LJ-okolica,Lj. SZ del (Šiška),Vodice,VODICE,173.2,samostojna,2013,,502.0,460000.0
